Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.5358	0.4153	0.4515
1	0.05	0.5358	0.4153	0.4515
1	0.10	0.5358	0.4153	0.4515
1	0.15	0.5358	0.4153	0.4515
1	0.20	0.5358	0.4153	0.4515
1	0.25	0.5358	0.4153	0.4515
1	0.30	0.5358	0.4153	0.4515
1	0.35	0.5332	0.4127	0.4489
1	0.40	0.5332	0.4127	0.4489
1	0.45	0.5252	0.4047	0.4409
1	0.50	0.5040	0.3875	0.4224
1	0.55	0.4828	0.3676	0.4020
1	0.60	0.4562	0.3437	0.3773
1	0.65	0.4324	0.3229	0.3556
1	0.70	0.3926	0.2911	0.3211
1	0.75	0.3422	0.2555	0.2812
1	0.80	0.3050	0.2250	0.2485
1	0.85	0.2175	0.1547	0.1729
1	0.90	0.0955	0.0623	0.0716
1	0.95	0.0265	0.0164	0.0190
2	0.00	0.3979	0.5718	0.4499
2	0.05	0.3979	0.5718	0.4499
2	0.10	0.3979	0.5718	0.4499
2	0.15	0.3979	0.5718	0.4499
2	0.20	0.3979	0.5718	0.4499
2	0.25	0.3979	0.5718	0.4499
2	0.30	0.3979	0.5718	0.4499
2	0.35	0.3966	0.5692	0.4481
2	0.40	0.3966	0.5692	0.4481
2	0.45	0.3926	0.5519	0.4388
2	0.50	0.3806	0.5347	0.4256
2	0.55	0.3621	0.4962	0.3999
2	0.60	0.3475	0.4657	0.3800
2	0.65	0.3316	0.4290	0.3557
2	0.70	0.3064	0.3844	0.3224
2	0.75	0.2706	0.3355	0.2849
2	0.80	0.2493	0.2847	0.2506
2	0.85	0.1870	0.1888	0.1765
2	0.90	0.0902	0.0721	0.0756
2	0.95	0.0265	0.0164	0.0190
3	0.00	0.3139	0.6751	0.4119
3	0.05	0.3139	0.6751	0.4119
3	0.10	0.3139	0.6751	0.4119
3	0.15	0.3139	0.6751	0.4119
3	0.20	0.3139	0.6751	0.4119
3	0.25	0.3139	0.6751	0.4119
3	0.30	0.3130	0.6737	0.4108
3	0.35	0.3121	0.6711	0.4095
3	0.40	0.3108	0.6671	0.4075
3	0.45	0.3081	0.6432	0.3981
3	0.50	0.2975	0.6207	0.3849
3	0.55	0.2829	0.5703	0.3604
3	0.60	0.2741	0.5292	0.3427
3	0.65	0.2591	0.4752	0.3150
3	0.70	0.2431	0.4260	0.2876
3	0.75	0.2153	0.3625	0.2528
3	0.80	0.2069	0.3006	0.2253
3	0.85	0.1667	0.2011	0.1674
3	0.90	0.0880	0.0738	0.0748
3	0.95	0.0265	0.0164	0.0190
4	0.00	0.2699	0.7772	0.3864
4	0.05	0.2699	0.7772	0.3864
4	0.10	0.2699	0.7772	0.3864
4	0.15	0.2699	0.7772	0.3864
4	0.20	0.2699	0.7772	0.3864
4	0.25	0.2699	0.7772	0.3864
4	0.30	0.2695	0.7759	0.3858
4	0.35	0.2690	0.7732	0.3849
4	0.40	0.2677	0.7679	0.3828
4	0.45	0.2648	0.7334	0.3716
4	0.50	0.2522	0.6967	0.3545
4	0.55	0.2412	0.6370	0.3327
4	0.60	0.2356	0.5889	0.3173
4	0.65	0.2233	0.5296	0.2918
4	0.70	0.2102	0.4679	0.2648
4	0.75	0.1883	0.3926	0.2341
4	0.80	0.1866	0.3161	0.2105
4	0.85	0.1556	0.2073	0.1603
4	0.90	0.0866	0.0738	0.0740
4	0.95	0.0265	0.0164	0.0190
5	0.00	0.2329	0.8355	0.3524
5	0.05	0.2329	0.8355	0.3524
5	0.10	0.2324	0.8329	0.3515
5	0.15	0.2324	0.8329	0.3515
5	0.20	0.2324	0.8329	0.3515
5	0.25	0.2324	0.8329	0.3515
5	0.30	0.2322	0.8316	0.3512
5	0.35	0.2320	0.8289	0.3506
5	0.40	0.2311	0.8210	0.3486
5	0.45	0.2298	0.7825	0.3390
5	0.50	0.2172	0.7383	0.3212
5	0.55	0.2097	0.6746	0.3034
5	0.60	0.2047	0.6163	0.2874
5	0.65	0.1946	0.5504	0.2639
5	0.70	0.1850	0.4825	0.2400
5	0.75	0.1672	0.4010	0.2134
5	0.80	0.1716	0.3201	0.1963
5	0.85	0.1485	0.2113	0.1548
5	0.90	0.0863	0.0738	0.0738
5	0.95	0.0265	0.0164	0.0190
6	0.00	0.2329	0.8355	0.3524
6	0.05	0.2329	0.8355	0.3524
6	0.10	0.2324	0.8329	0.3515
6	0.15	0.2324	0.8329	0.3515
6	0.20	0.2324	0.8329	0.3515
6	0.25	0.2324	0.8329	0.3515
6	0.30	0.2322	0.8316	0.3512
6	0.35	0.2320	0.8289	0.3506
6	0.40	0.2311	0.8210	0.3486
6	0.45	0.2298	0.7825	0.3390
6	0.50	0.2172	0.7383	0.3212
6	0.55	0.2097	0.6746	0.3034
6	0.60	0.2047	0.6163	0.2874
6	0.65	0.1946	0.5504	0.2639
6	0.70	0.1850	0.4825	0.2400
6	0.75	0.1672	0.4010	0.2134
6	0.80	0.1716	0.3201	0.1963
6	0.85	0.1485	0.2113	0.1548
6	0.90	0.0863	0.0738	0.0738
6	0.95	0.0265	0.0164	0.0190
7	0.00	0.2329	0.8355	0.3524
7	0.05	0.2329	0.8355	0.3524
7	0.10	0.2324	0.8329	0.3515
7	0.15	0.2324	0.8329	0.3515
7	0.20	0.2324	0.8329	0.3515
7	0.25	0.2324	0.8329	0.3515
7	0.30	0.2322	0.8316	0.3512
7	0.35	0.2320	0.8289	0.3506
7	0.40	0.2311	0.8210	0.3486
7	0.45	0.2298	0.7825	0.3390
7	0.50	0.2172	0.7383	0.3212
7	0.55	0.2097	0.6746	0.3034
7	0.60	0.2047	0.6163	0.2874
7	0.65	0.1946	0.5504	0.2639
7	0.70	0.1850	0.4825	0.2400
7	0.75	0.1672	0.4010	0.2134
7	0.80	0.1716	0.3201	0.1963
7	0.85	0.1485	0.2113	0.1548
7	0.90	0.0863	0.0738	0.0738
7	0.95	0.0265	0.0164	0.0190
8	0.00	0.2329	0.8355	0.3524
8	0.05	0.2329	0.8355	0.3524
8	0.10	0.2324	0.8329	0.3515
8	0.15	0.2324	0.8329	0.3515
8	0.20	0.2324	0.8329	0.3515
8	0.25	0.2324	0.8329	0.3515
8	0.30	0.2322	0.8316	0.3512
8	0.35	0.2320	0.8289	0.3506
8	0.40	0.2311	0.8210	0.3486
8	0.45	0.2298	0.7825	0.3390
8	0.50	0.2172	0.7383	0.3212
8	0.55	0.2097	0.6746	0.3034
8	0.60	0.2047	0.6163	0.2874
8	0.65	0.1946	0.5504	0.2639
8	0.70	0.1850	0.4825	0.2400
8	0.75	0.1672	0.4010	0.2134
8	0.80	0.1716	0.3201	0.1963
8	0.85	0.1485	0.2113	0.1548
8	0.90	0.0863	0.0738	0.0738
8	0.95	0.0265	0.0164	0.0190
9	0.00	0.2329	0.8355	0.3524
9	0.05	0.2329	0.8355	0.3524
9	0.10	0.2324	0.8329	0.3515
9	0.15	0.2324	0.8329	0.3515
9	0.20	0.2324	0.8329	0.3515
9	0.25	0.2324	0.8329	0.3515
9	0.30	0.2322	0.8316	0.3512
9	0.35	0.2320	0.8289	0.3506
9	0.40	0.2311	0.8210	0.3486
9	0.45	0.2298	0.7825	0.3390
9	0.50	0.2172	0.7383	0.3212
9	0.55	0.2097	0.6746	0.3034
9	0.60	0.2047	0.6163	0.2874
9	0.65	0.1946	0.5504	0.2639
9	0.70	0.1850	0.4825	0.2400
9	0.75	0.1672	0.4010	0.2134
9	0.80	0.1716	0.3201	0.1963
9	0.85	0.1485	0.2113	0.1548
9	0.90	0.0863	0.0738	0.0738
9	0.95	0.0265	0.0164	0.0190
10	0.00	0.2329	0.8355	0.3524
10	0.05	0.2329	0.8355	0.3524
10	0.10	0.2324	0.8329	0.3515
10	0.15	0.2324	0.8329	0.3515
10	0.20	0.2324	0.8329	0.3515
10	0.25	0.2324	0.8329	0.3515
10	0.30	0.2322	0.8316	0.3512
10	0.35	0.2320	0.8289	0.3506
10	0.40	0.2311	0.8210	0.3486
10	0.45	0.2298	0.7825	0.3390
10	0.50	0.2172	0.7383	0.3212
10	0.55	0.2097	0.6746	0.3034
10	0.60	0.2047	0.6163	0.2874
10	0.65	0.1946	0.5504	0.2639
10	0.70	0.1850	0.4825	0.2400
10	0.75	0.1672	0.4010	0.2134
10	0.80	0.1716	0.3201	0.1963
10	0.85	0.1485	0.2113	0.1548
10	0.90	0.0863	0.0738	0.0738
10	0.95	0.0265	0.0164	0.0190
11	0.00	0.2329	0.8355	0.3524
11	0.05	0.2329	0.8355	0.3524
11	0.10	0.2324	0.8329	0.3515
11	0.15	0.2324	0.8329	0.3515
11	0.20	0.2324	0.8329	0.3515
11	0.25	0.2324	0.8329	0.3515
11	0.30	0.2322	0.8316	0.3512
11	0.35	0.2320	0.8289	0.3506
11	0.40	0.2311	0.8210	0.3486
11	0.45	0.2298	0.7825	0.3390
11	0.50	0.2172	0.7383	0.3212
11	0.55	0.2097	0.6746	0.3034
11	0.60	0.2047	0.6163	0.2874
11	0.65	0.1946	0.5504	0.2639
11	0.70	0.1850	0.4825	0.2400
11	0.75	0.1672	0.4010	0.2134
11	0.80	0.1716	0.3201	0.1963
11	0.85	0.1485	0.2113	0.1548
11	0.90	0.0863	0.0738	0.0738
11	0.95	0.0265	0.0164	0.0190
12	0.00	0.2329	0.8355	0.3524
12	0.05	0.2329	0.8355	0.3524
12	0.10	0.2324	0.8329	0.3515
12	0.15	0.2324	0.8329	0.3515
12	0.20	0.2324	0.8329	0.3515
12	0.25	0.2324	0.8329	0.3515
12	0.30	0.2322	0.8316	0.3512
12	0.35	0.2320	0.8289	0.3506
12	0.40	0.2311	0.8210	0.3486
12	0.45	0.2298	0.7825	0.3390
12	0.50	0.2172	0.7383	0.3212
12	0.55	0.2097	0.6746	0.3034
12	0.60	0.2047	0.6163	0.2874
12	0.65	0.1946	0.5504	0.2639
12	0.70	0.1850	0.4825	0.2400
12	0.75	0.1672	0.4010	0.2134
12	0.80	0.1716	0.3201	0.1963
12	0.85	0.1485	0.2113	0.1548
12	0.90	0.0863	0.0738	0.0738
12	0.95	0.0265	0.0164	0.0190
13	0.00	0.2329	0.8355	0.3524
13	0.05	0.2329	0.8355	0.3524
13	0.10	0.2324	0.8329	0.3515
13	0.15	0.2324	0.8329	0.3515
13	0.20	0.2324	0.8329	0.3515
13	0.25	0.2324	0.8329	0.3515
13	0.30	0.2322	0.8316	0.3512
13	0.35	0.2320	0.8289	0.3506
13	0.40	0.2311	0.8210	0.3486
13	0.45	0.2298	0.7825	0.3390
13	0.50	0.2172	0.7383	0.3212
13	0.55	0.2097	0.6746	0.3034
13	0.60	0.2047	0.6163	0.2874
13	0.65	0.1946	0.5504	0.2639
13	0.70	0.1850	0.4825	0.2400
13	0.75	0.1672	0.4010	0.2134
