Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.4527	0.3708	0.3981
1	0.05	0.4527	0.3708	0.3981
1	0.10	0.4527	0.3708	0.3981
1	0.15	0.4527	0.3708	0.3981
1	0.20	0.4527	0.3708	0.3981
1	0.25	0.4527	0.3708	0.3981
1	0.30	0.4501	0.3696	0.3964
1	0.35	0.4476	0.3683	0.3947
1	0.40	0.4399	0.3606	0.3870
1	0.45	0.4297	0.3517	0.3777
1	0.50	0.3964	0.3235	0.3478
1	0.55	0.3785	0.3095	0.3325
1	0.60	0.3478	0.2813	0.3035
1	0.65	0.3120	0.2506	0.2711
1	0.70	0.2839	0.2302	0.2481
1	0.75	0.2583	0.2123	0.2276
1	0.80	0.2148	0.1790	0.1910
1	0.85	0.1432	0.1176	0.1262
1	0.90	0.0332	0.0243	0.0273
1	0.95	0.0000	0.0000	0.0000
2	0.00	0.4322	0.7072	0.5239
2	0.05	0.4322	0.7072	0.5239
2	0.10	0.4322	0.7072	0.5239
2	0.15	0.4322	0.7072	0.5239
2	0.20	0.4322	0.7072	0.5239
2	0.25	0.4322	0.7072	0.5239
2	0.30	0.4309	0.7059	0.5226
2	0.35	0.4271	0.6982	0.5175
2	0.40	0.4233	0.6905	0.5124
2	0.45	0.4169	0.6701	0.5004
2	0.50	0.3887	0.6240	0.4663
2	0.55	0.3721	0.5959	0.4463
2	0.60	0.3453	0.5473	0.4126
2	0.65	0.3107	0.4859	0.3683
2	0.70	0.2788	0.4348	0.3303
2	0.75	0.2455	0.3747	0.2864
2	0.80	0.1969	0.2941	0.2268
2	0.85	0.1381	0.1867	0.1500
2	0.90	0.0409	0.0499	0.0431
2	0.95	0.0000	0.0000	0.0000
3	0.00	0.3461	0.8453	0.4806
3	0.05	0.3461	0.8453	0.4806
3	0.10	0.3453	0.8427	0.4793
3	0.15	0.3453	0.8427	0.4793
3	0.20	0.3453	0.8427	0.4793
3	0.25	0.3453	0.8427	0.4793
3	0.30	0.3436	0.8376	0.4765
3	0.35	0.3419	0.8299	0.4735
3	0.40	0.3376	0.8197	0.4675
3	0.45	0.3359	0.7928	0.4586
3	0.50	0.3103	0.7340	0.4241
3	0.55	0.2967	0.6969	0.4051
3	0.60	0.2715	0.6304	0.3697
3	0.65	0.2421	0.5512	0.3263
3	0.70	0.2153	0.4936	0.2913
3	0.75	0.1905	0.4207	0.2509
3	0.80	0.1539	0.3274	0.1982
3	0.85	0.1176	0.2059	0.1372
3	0.90	0.0401	0.0575	0.0443
3	0.95	0.0000	0.0000	0.0000
4	0.00	0.2922	0.9527	0.4387
4	0.05	0.2922	0.9527	0.4387
4	0.10	0.2909	0.9476	0.4367
4	0.15	0.2909	0.9476	0.4367
4	0.20	0.2909	0.9476	0.4367
4	0.25	0.2909	0.9476	0.4367
4	0.30	0.2907	0.9425	0.4353
4	0.35	0.2892	0.9322	0.4323
4	0.40	0.2864	0.9194	0.4275
4	0.45	0.2879	0.8862	0.4215
4	0.50	0.2602	0.8082	0.3824
4	0.55	0.2481	0.7596	0.3637
4	0.60	0.2287	0.6905	0.3344
4	0.65	0.2029	0.6036	0.2937
4	0.70	0.1775	0.5332	0.2582
4	0.75	0.1564	0.4437	0.2189
4	0.80	0.1279	0.3389	0.1732
4	0.85	0.1032	0.2097	0.1231
4	0.90	0.0399	0.0575	0.0441
4	0.95	0.0000	0.0000	0.0000
5	0.00	0.2353	0.9591	0.3715
5	0.05	0.2353	0.9591	0.3715
5	0.10	0.2343	0.9540	0.3697
5	0.15	0.2343	0.9540	0.3697
5	0.20	0.2343	0.9540	0.3697
5	0.25	0.2347	0.9540	0.3702
5	0.30	0.2350	0.9488	0.3694
5	0.35	0.2342	0.9386	0.3674
5	0.40	0.2348	0.9258	0.3667
5	0.45	0.2401	0.8926	0.3656
5	0.50	0.2166	0.8146	0.3317
5	0.55	0.2073	0.7634	0.3162
5	0.60	0.1924	0.6944	0.2921
5	0.65	0.1708	0.6074	0.2563
5	0.70	0.1485	0.5358	0.2243
5	0.75	0.1353	0.4437	0.1945
5	0.80	0.1141	0.3389	0.1573
5	0.85	0.0988	0.2097	0.1184
5	0.90	0.0399	0.0575	0.0441
5	0.95	0.0000	0.0000	0.0000
6	0.00	0.2353	0.9591	0.3715
6	0.05	0.2353	0.9591	0.3715
6	0.10	0.2343	0.9540	0.3697
6	0.15	0.2343	0.9540	0.3697
6	0.20	0.2343	0.9540	0.3697
6	0.25	0.2347	0.9540	0.3702
6	0.30	0.2350	0.9488	0.3694
6	0.35	0.2342	0.9386	0.3674
6	0.40	0.2348	0.9258	0.3667
6	0.45	0.2401	0.8926	0.3656
6	0.50	0.2166	0.8146	0.3317
6	0.55	0.2073	0.7634	0.3162
6	0.60	0.1924	0.6944	0.2921
6	0.65	0.1708	0.6074	0.2563
6	0.70	0.1485	0.5358	0.2243
6	0.75	0.1353	0.4437	0.1945
6	0.80	0.1141	0.3389	0.1573
6	0.85	0.0988	0.2097	0.1184
6	0.90	0.0399	0.0575	0.0441
6	0.95	0.0000	0.0000	0.0000
7	0.00	0.2353	0.9591	0.3715
7	0.05	0.2353	0.9591	0.3715
7	0.10	0.2343	0.9540	0.3697
7	0.15	0.2343	0.9540	0.3697
7	0.20	0.2343	0.9540	0.3697
7	0.25	0.2347	0.9540	0.3702
7	0.30	0.2350	0.9488	0.3694
7	0.35	0.2342	0.9386	0.3674
7	0.40	0.2348	0.9258	0.3667
7	0.45	0.2401	0.8926	0.3656
7	0.50	0.2166	0.8146	0.3317
7	0.55	0.2073	0.7634	0.3162
7	0.60	0.1924	0.6944	0.2921
7	0.65	0.1708	0.6074	0.2563
7	0.70	0.1485	0.5358	0.2243
7	0.75	0.1353	0.4437	0.1945
7	0.80	0.1141	0.3389	0.1573
7	0.85	0.0988	0.2097	0.1184
7	0.90	0.0399	0.0575	0.0441
7	0.95	0.0000	0.0000	0.0000
8	0.00	0.2353	0.9591	0.3715
8	0.05	0.2353	0.9591	0.3715
8	0.10	0.2343	0.9540	0.3697
8	0.15	0.2343	0.9540	0.3697
8	0.20	0.2343	0.9540	0.3697
8	0.25	0.2347	0.9540	0.3702
8	0.30	0.2350	0.9488	0.3694
8	0.35	0.2342	0.9386	0.3674
8	0.40	0.2348	0.9258	0.3667
