Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.6005	0.4320	0.4678
1	0.05	0.6005	0.4320	0.4678
1	0.10	0.6005	0.4320	0.4678
1	0.15	0.6005	0.4320	0.4678
1	0.20	0.6005	0.4320	0.4678
1	0.25	0.5979	0.4294	0.4651
1	0.30	0.5979	0.4294	0.4651
1	0.35	0.5953	0.4268	0.4625
1	0.40	0.5927	0.4241	0.4599
1	0.45	0.5875	0.4189	0.4547
1	0.50	0.5744	0.4078	0.4432
1	0.55	0.5561	0.3895	0.4249
1	0.60	0.5326	0.3680	0.4030
1	0.65	0.4909	0.3301	0.3638
1	0.70	0.4595	0.3067	0.3384
1	0.75	0.4073	0.2681	0.2973
1	0.80	0.3708	0.2387	0.2662
1	0.85	0.3264	0.2114	0.2355
1	0.90	0.2507	0.1708	0.1891
1	0.95	0.1828	0.1312	0.1442
2	0.00	0.4204	0.5141	0.4167
2	0.05	0.4204	0.5141	0.4167
2	0.10	0.4217	0.5141	0.4176
2	0.15	0.4217	0.5141	0.4176
2	0.20	0.4217	0.5141	0.4176
2	0.25	0.4191	0.5115	0.4150
2	0.30	0.4217	0.5115	0.4167
2	0.35	0.4230	0.5089	0.4167
2	0.40	0.4282	0.5063	0.4193
2	0.45	0.4386	0.5011	0.4241
2	0.50	0.4360	0.4854	0.4172
2	0.55	0.4386	0.4632	0.4111
2	0.60	0.4334	0.4345	0.3980
2	0.65	0.4164	0.3934	0.3737
2	0.70	0.4008	0.3665	0.3543
2	0.75	0.3668	0.3214	0.3193
2	0.80	0.3473	0.2851	0.2931
2	0.85	0.3198	0.2500	0.2658
2	0.90	0.2507	0.1934	0.2090
2	0.95	0.1828	0.1463	0.1563
3	0.00	0.3342	0.5563	0.3712
3	0.05	0.3342	0.5563	0.3712
3	0.10	0.3359	0.5563	0.3725
3	0.15	0.3359	0.5563	0.3725
3	0.20	0.3359	0.5563	0.3725
3	0.25	0.3333	0.5537	0.3699
3	0.30	0.3368	0.5537	0.3725
3	0.35	0.3403	0.5511	0.3746
3	0.40	0.3481	0.5485	0.3799
3	0.45	0.3668	0.5433	0.3921
3	0.50	0.3699	0.5248	0.3892
3	0.55	0.3795	0.5026	0.3894
3	0.60	0.3856	0.4720	0.3861
3	0.65	0.3777	0.4276	0.3681
3	0.70	0.3760	0.4003	0.3581
3	0.75	0.3507	0.3511	0.3265
3	0.80	0.3412	0.3104	0.3063
3	0.85	0.3190	0.2701	0.2802
3	0.90	0.2507	0.2008	0.2154
3	0.95	0.1828	0.1487	0.1581
4	0.00	0.2813	0.5887	0.3365
4	0.05	0.2813	0.5887	0.3365
4	0.10	0.2833	0.5887	0.3380
4	0.15	0.2833	0.5887	0.3380
4	0.20	0.2833	0.5887	0.3380
4	0.25	0.2809	0.5861	0.3357
4	0.30	0.2846	0.5861	0.3386
4	0.35	0.2894	0.5835	0.3423
4	0.40	0.2987	0.5809	0.3493
4	0.45	0.3222	0.5757	0.3667
4	0.50	0.3285	0.5556	0.3667
4	0.55	0.3420	0.5334	0.3714
4	0.60	0.3542	0.4992	0.3737
4	0.65	0.3527	0.4528	0.3608
4	0.70	0.3579	0.4201	0.3550
4	0.75	0.3381	0.3692	0.3271
4	0.80	0.3344	0.3252	0.3107
4	0.85	0.3170	0.2806	0.2870
4	0.90	0.2507	0.2053	0.2190
4	0.95	0.1828	0.1497	0.1588
5	0.00	0.2423	0.6063	0.3055
5	0.05	0.2423	0.6063	0.3055
5	0.10	0.2444	0.6063	0.3072
5	0.15	0.2444	0.6063	0.3072
5	0.20	0.2444	0.6063	0.3072
5	0.25	0.2421	0.6037	0.3051
5	0.30	0.2460	0.6037	0.3081
5	0.35	0.2518	0.6011	0.3132
5	0.40	0.2626	0.5985	0.3217
5	0.45	0.2889	0.5932	0.3426
5	0.50	0.2975	0.5724	0.3451
5	0.55	0.3134	0.5476	0.3525
5	0.60	0.3293	0.5129	0.3590
5	0.65	0.3326	0.4653	0.3504
5	0.70	0.3419	0.4300	0.3477
5	0.75	0.3264	0.3775	0.3230
5	0.80	0.3293	0.3317	0.3114
5	0.85	0.3169	0.2858	0.2911
5	0.90	0.2507	0.2078	0.2211
