Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.9489	0.9489	0.9489
1	0.05	0.9489	0.9489	0.9489
1	0.10	0.9462	0.9462	0.9462
1	0.15	0.9462	0.9462	0.9462
1	0.20	0.9462	0.9462	0.9462
1	0.25	0.9462	0.9462	0.9462
1	0.30	0.9435	0.9435	0.9435
1	0.35	0.9328	0.9328	0.9328
1	0.40	0.9194	0.9194	0.9194
1	0.45	0.8817	0.8817	0.8817
1	0.50	0.8280	0.8280	0.8280
1	0.55	0.7688	0.7688	0.7688
1	0.60	0.6882	0.6882	0.6882
1	0.65	0.6022	0.6022	0.6022
1	0.70	0.5376	0.5376	0.5376
1	0.75	0.4489	0.4489	0.4489
1	0.80	0.3333	0.3333	0.3333
1	0.85	0.2016	0.2016	0.2016
1	0.90	0.0538	0.0538	0.0538
1	0.95	0.0000	0.0000	0.0000
2	0.00	0.9489	0.9489	0.9489
2	0.05	0.9489	0.9489	0.9489
2	0.10	0.9462	0.9462	0.9462
2	0.15	0.9462	0.9462	0.9462
2	0.20	0.9462	0.9462	0.9462
2	0.25	0.9462	0.9462	0.9462
2	0.30	0.9435	0.9435	0.9435
2	0.35	0.9328	0.9328	0.9328
2	0.40	0.9194	0.9194	0.9194
2	0.45	0.8817	0.8817	0.8817
2	0.50	0.8280	0.8280	0.8280
2	0.55	0.7688	0.7688	0.7688
2	0.60	0.6882	0.6882	0.6882
2	0.65	0.6022	0.6022	0.6022
2	0.70	0.5376	0.5376	0.5376
2	0.75	0.4489	0.4489	0.4489
2	0.80	0.3333	0.3333	0.3333
2	0.85	0.2016	0.2016	0.2016
2	0.90	0.0538	0.0538	0.0538
2	0.95	0.0000	0.0000	0.0000
3	0.00	0.9489	0.9489	0.9489
3	0.05	0.9489	0.9489	0.9489
3	0.10	0.9462	0.9462	0.9462
3	0.15	0.9462	0.9462	0.9462
3	0.20	0.9462	0.9462	0.9462
3	0.25	0.9462	0.9462	0.9462
3	0.30	0.9435	0.9435	0.9435
3	0.35	0.9328	0.9328	0.9328
3	0.40	0.9194	0.9194	0.9194
3	0.45	0.8817	0.8817	0.8817
3	0.50	0.8280	0.8280	0.8280
3	0.55	0.7688	0.7688	0.7688
3	0.60	0.6882	0.6882	0.6882
3	0.65	0.6022	0.6022	0.6022
3	0.70	0.5376	0.5376	0.5376
3	0.75	0.4489	0.4489	0.4489
3	0.80	0.3333	0.3333	0.3333
3	0.85	0.2016	0.2016	0.2016
3	0.90	0.0538	0.0538	0.0538
3	0.95	0.0000	0.0000	0.0000
4	0.00	0.9489	0.9489	0.9489
4	0.05	0.9489	0.9489	0.9489
4	0.10	0.9462	0.9462	0.9462
4	0.15	0.9462	0.9462	0.9462
4	0.20	0.9462	0.9462	0.9462
4	0.25	0.9462	0.9462	0.9462
4	0.30	0.9435	0.9435	0.9435
4	0.35	0.9328	0.9328	0.9328
4	0.40	0.9194	0.9194	0.9194
4	0.45	0.8817	0.8817	0.8817
4	0.50	0.8280	0.8280	0.8280
4	0.55	0.7688	0.7688	0.7688
4	0.60	0.6882	0.6882	0.6882
4	0.65	0.6022	0.6022	0.6022
4	0.70	0.5376	0.5376	0.5376
4	0.75	0.4489	0.4489	0.4489
4	0.80	0.3333	0.3333	0.3333
4	0.85	0.2016	0.2016	0.2016
4	0.90	0.0538	0.0538	0.0538
4	0.95	0.0000	0.0000	0.0000
5	0.00	0.9489	0.9489	0.9489
5	0.05	0.9489	0.9489	0.9489
5	0.10	0.9462	0.9462	0.9462
5	0.15	0.9462	0.9462	0.9462
5	0.20	0.9462	0.9462	0.9462
5	0.25	0.9462	0.9462	0.9462
5	0.30	0.9435	0.9435	0.9435
5	0.35	0.9328	0.9328	0.9328
5	0.40	0.9194	0.9194	0.9194
5	0.45	0.8817	0.8817	0.8817
5	0.50	0.8280	0.8280	0.8280
