Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.5289	0.4092	0.4452
1	0.05	0.5289	0.4092	0.4452
1	0.10	0.5289	0.4092	0.4452
1	0.15	0.5289	0.4092	0.4452
1	0.20	0.5289	0.4092	0.4452
1	0.25	0.5289	0.4092	0.4452
1	0.30	0.5289	0.4092	0.4452
1	0.35	0.5263	0.4066	0.4425
1	0.40	0.5263	0.4066	0.4425
1	0.45	0.5211	0.4013	0.4373
1	0.50	0.5000	0.3842	0.4189
1	0.55	0.4816	0.3671	0.4013
1	0.60	0.4658	0.3553	0.3882
1	0.65	0.4368	0.3289	0.3610
1	0.70	0.3947	0.2947	0.3241
1	0.75	0.3421	0.2557	0.2807
1	0.80	0.2921	0.2154	0.2373
1	0.85	0.2132	0.1518	0.1689
1	0.90	0.0947	0.0610	0.0702
1	0.95	0.0289	0.0189	0.0215
2	0.00	0.3947	0.5658	0.4451
2	0.05	0.3947	0.5658	0.4451
2	0.10	0.3947	0.5658	0.4451
2	0.15	0.3947	0.5658	0.4451
2	0.20	0.3947	0.5658	0.4451
2	0.25	0.3947	0.5658	0.4451
2	0.30	0.3947	0.5658	0.4451
2	0.35	0.3934	0.5632	0.4433
2	0.40	0.3934	0.5632	0.4433
2	0.45	0.3908	0.5526	0.4376
2	0.50	0.3763	0.5289	0.4201
2	0.55	0.3618	0.4961	0.3986
2	0.60	0.3474	0.4737	0.3815
2	0.65	0.3303	0.4325	0.3553
2	0.70	0.3053	0.3860	0.3223
2	0.75	0.2697	0.3316	0.2816
2	0.80	0.2382	0.2719	0.2391
2	0.85	0.1829	0.1886	0.1749
2	0.90	0.0895	0.0732	0.0765
2	0.95	0.0289	0.0189	0.0215
3	0.00	0.3123	0.6662	0.4081
3	0.05	0.3123	0.6662	0.4081
3	0.10	0.3123	0.6662	0.4081
3	0.15	0.3123	0.6662	0.4081
3	0.20	0.3123	0.6662	0.4081
3	0.25	0.3123	0.6662	0.4081
3	0.30	0.3123	0.6662	0.4081
3	0.35	0.3114	0.6636	0.4068
3	0.40	0.3114	0.6636	0.4068
3	0.45	0.3114	0.6504	0.4028
3	0.50	0.2991	0.6254	0.3869
