Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.6607	0.5048	0.5441
1	0.05	0.6607	0.5048	0.5441
1	0.10	0.6607	0.5048	0.5441
1	0.15	0.6607	0.5048	0.5441
1	0.20	0.6607	0.5048	0.5441
1	0.25	0.6607	0.5048	0.5441
1	0.30	0.6607	0.5048	0.5441
1	0.35	0.6607	0.5048	0.5441
1	0.40	0.6582	0.5022	0.5416
1	0.45	0.6505	0.4958	0.5348
1	0.50	0.6378	0.4848	0.5233
1	0.55	0.6173	0.4669	0.5046
1	0.60	0.5995	0.4520	0.4889
1	0.65	0.5561	0.4138	0.4489
1	0.70	0.5026	0.3657	0.3992
1	0.75	0.4235	0.2983	0.3284
1	0.80	0.3546	0.2456	0.2716
1	0.85	0.2704	0.1778	0.1993
1	0.90	0.1684	0.1136	0.1264
1	0.95	0.0791	0.0525	0.0588
2	0.00	0.4490	0.6179	0.4851
2	0.05	0.4490	0.6179	0.4851
2	0.10	0.4490	0.6179	0.4851
2	0.15	0.4490	0.6179	0.4851
2	0.20	0.4490	0.6179	0.4851
2	0.25	0.4490	0.6179	0.4851
2	0.30	0.4490	0.6179	0.4851
2	0.35	0.4503	0.6179	0.4860
2	0.40	0.4503	0.6128	0.4838
2	0.45	0.4464	0.6014	0.4769
2	0.50	0.4477	0.5844	0.4719
2	0.55	0.4401	0.5627	0.4591
2	0.60	0.4401	0.5444	0.4520
2	0.65	0.4222	0.4900	0.4219
2	0.70	0.3967	0.4247	0.3799
2	0.75	0.3444	0.3433	0.3154
2	0.80	0.3023	0.2814	0.2699
2	0.85	0.2538	0.2057	0.2145
2	0.90	0.1684	0.1282	0.1408
2	0.95	0.0791	0.0557	0.0626
3	0.00	0.3512	0.6839	0.4308
3	0.05	0.3512	0.6839	0.4308
3	0.10	0.3512	0.6839	0.4308
3	0.15	0.3512	0.6839	0.4308
3	0.20	0.3512	0.6839	0.4308
3	0.25	0.3512	0.6839	0.4308
3	0.30	0.3512	0.6839	0.4308
3	0.35	0.3529	0.6839	0.4320
3	0.40	0.3559	0.6788	0.4327
3	0.45	0.3529	0.6601	0.4241
3	0.50	0.3588	0.6380	0.4229
3	0.55	0.3567	0.6112	0.4138
3	0.60	0.3678	0.5917	0.4154
3	0.65	0.3652	0.5347	0.3985
3	0.70	0.3533	0.4620	0.3651
3	0.75	0.3125	0.3736	0.3072
3	0.80	0.2853	0.3085	0.2737
3	0.85	0.2466	0.2274	0.2239
3	0.90	0.1684	0.1378	0.1480
3	0.95	0.0791	0.0582	0.0648
4	0.00	0.2889	0.7268	0.3842
4	0.05	0.2889	0.7268	0.3842
4	0.10	0.2889	0.7268	0.3842
4	0.15	0.2889	0.7268	0.3842
4	0.20	0.2889	0.7268	0.3842
4	0.25	0.2889	0.7268	0.3842
4	0.30	0.2891	0.7268	0.3844
4	0.35	0.2908	0.7268	0.3857
4	0.40	0.2957	0.7217	0.3884
4	0.45	0.2946	0.7004	0.3811
4	0.50	0.3051	0.6783	0.3851
4	0.55	0.3055	0.6452	0.3777
4	0.60	0.3204	0.6184	0.3821
4	0.65	0.3255	0.5588	0.3734
4	0.70	0.3223	0.4830	0.3474
4	0.75	0.2881	0.3913	0.2949
4	0.80	0.2710	0.3244	0.2702
4	0.85	0.2413	0.2369	0.2260
4	0.90	0.1684	0.1426	0.1512
4	0.95	0.0791	0.0588	0.0652
5	0.00	0.2459	0.7581	0.3459
5	0.05	0.2459	0.7581	0.3459
5	0.10	0.2459	0.7581	0.3459
5	0.15	0.2459	0.7581	0.3459
5	0.20	0.2459	0.7581	0.3459
5	0.25	0.2459	0.7581	0.3459
5	0.30	0.2463	0.7581	0.3463
5	0.35	0.2480	0.7581	0.3476
5	0.40	0.2541	0.7530	0.3519
5	0.45	0.2543	0.7305	0.3457
5	0.50	0.2664	0.7033	0.3515
5	0.55	0.2694	0.6680	0.3468
5	0.60	0.2881	0.6361	0.3553
5	0.65	0.2961	0.5723	0.3499
5	0.70	0.2989	0.4947	0.3300
5	0.75	0.2694	0.4006	0.2820
5	0.80	0.2594	0.3317	0.2640
5	0.85	0.2384	0.2426	0.2268
5	0.90	0.1684	0.1451	0.1526
5	0.95	0.0791	0.0588	0.0652
6	0.00	0.2459	0.7581	0.3459
6	0.05	0.2459	0.7581	0.3459
6	0.10	0.2459	0.7581	0.3459
6	0.15	0.2459	0.7581	0.3459
6	0.20	0.2459	0.7581	0.3459
6	0.25	0.2459	0.7581	0.3459
6	0.30	0.2463	0.7581	0.3463
6	0.35	0.2480	0.7581	0.3476
6	0.40	0.2541	0.7530	0.3519
6	0.45	0.2543	0.7305	0.3457
6	0.50	0.2664	0.7033	0.3515
6	0.55	0.2694	0.6680	0.3468
6	0.60	0.2881	0.6361	0.3553
6	0.65	0.2961	0.5723	0.3499
6	0.70	0.2989	0.4947	0.3300
6	0.75	0.2694	0.4006	0.2820
6	0.80	0.2594	0.3317	0.2640
6	0.85	0.2384	0.2426	0.2268
6	0.90	0.1684	0.1451	0.1526
6	0.95	0.0791	0.0588	0.0652
7	0.00	0.2459	0.7581	0.3459
7	0.05	0.2459	0.7581	0.3459
7	0.10	0.2459	0.7581	0.3459
7	0.15	0.2459	0.7581	0.3459
7	0.20	0.2459	0.7581	0.3459
7	0.25	0.2459	0.7581	0.3459
7	0.30	0.2463	0.7581	0.3463
7	0.35	0.2480	0.7581	0.3476
7	0.40	0.2541	0.7530	0.3519
7	0.45	0.2543	0.7305	0.3457
7	0.50	0.2664	0.7033	0.3515
7	0.55	0.2694	0.6680	0.3468
7	0.60	0.2881	0.6361	0.3553
7	0.65	0.2961	0.5723	0.3499
7	0.70	0.2989	0.4947	0.3300
7	0.75	0.2694	0.4006	0.2820
7	0.80	0.2594	0.3317	0.2640
7	0.85	0.2384	0.2426	0.2268
7	0.90	0.1684	0.1451	0.1526
7	0.95	0.0791	0.0588	0.0652
8	0.00	0.2459	0.7581	0.3459
8	0.05	0.2459	0.7581	0.3459
8	0.10	0.2459	0.7581	0.3459
8	0.15	0.2459	0.7581	0.3459
8	0.20	0.2459	0.7581	0.3459
8	0.25	0.2459	0.7581	0.3459
8	0.30	0.2463	0.7581	0.3463
8	0.35	0.2480	0.7581	0.3476
8	0.40	0.2541	0.7530	0.3519
8	0.45	0.2543	0.7305	0.3457
8	0.50	0.2664	0.7033	0.3515
8	0.55	0.2694	0.6680	0.3468
8	0.60	0.2881	0.6361	0.3553
8	0.65	0.2961	0.5723	0.3499
8	0.70	0.2989	0.4947	0.3300
8	0.75	0.2694	0.4006	0.2820
8	0.80	0.2594	0.3317	0.2640
8	0.85	0.2384	0.2426	0.2268
8	0.90	0.1684	0.1451	0.1526
8	0.95	0.0791	0.0588	0.0652
9	0.00	0.2459	0.7581	0.3459
9	0.05	0.2459	0.7581	0.3459
9	0.10	0.2459	0.7581	0.3459
9	0.15	0.2459	0.7581	0.3459
9	0.20	0.2459	0.7581	0.3459
9	0.25	0.2459	0.7581	0.3459
9	0.30	0.2463	0.7581	0.3463
9	0.35	0.2480	0.7581	0.3476
9	0.40	0.2541	0.7530	0.3519
9	0.45	0.2543	0.7305	0.3457
9	0.50	0.2664	0.7033	0.3515
9	0.55	0.2694	0.6680	0.3468
9	0.60	0.2881	0.6361	0.3553
9	0.65	0.2961	0.5723	0.3499
9	0.70	0.2989	0.4947	0.3300
9	0.75	0.2694	0.4006	0.2820
9	0.80	0.2594	0.3317	0.2640
9	0.85	0.2384	0.2426	0.2268
9	0.90	0.1684	0.1451	0.1526
9	0.95	0.0791	0.0588	0.0652
10	0.00	0.2459	0.7581	0.3459
10	0.05	0.2459	0.7581	0.3459
10	0.10	0.2459	0.7581	0.3459
10	0.15	0.2459	0.7581	0.3459
10	0.20	0.2459	0.7581	0.3459
10	0.25	0.2459	0.7581	0.3459
10	0.30	0.2463	0.7581	0.3463
10	0.35	0.2480	0.7581	0.3476
10	0.40	0.2541	0.7530	0.3519
