Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.9433	0.9433	0.9433
1	0.05	0.9433	0.9433	0.9433
1	0.10	0.9407	0.9407	0.9407
1	0.15	0.9407	0.9407	0.9407
1	0.20	0.9407	0.9407	0.9407
1	0.25	0.9407	0.9407	0.9407
1	0.30	0.9381	0.9381	0.9381
1	0.35	0.9304	0.9304	0.9304
1	0.40	0.9175	0.9175	0.9175
1	0.45	0.8840	0.8840	0.8840
1	0.50	0.8247	0.8247	0.8247
1	0.55	0.7732	0.7732	0.7732
1	0.60	0.6856	0.6856	0.6856
1	0.65	0.6005	0.6005	0.6005
1	0.70	0.5438	0.5438	0.5438
1	0.75	0.4459	0.4459	0.4459
1	0.80	0.3299	0.3299	0.3299
1	0.85	0.1959	0.1959	0.1959
1	0.90	0.0490	0.0490	0.0490
1	0.95	0.0000	0.0000	0.0000
2	0.00	0.9433	0.9433	0.9433
2	0.05	0.9433	0.9433	0.9433
2	0.10	0.9407	0.9407	0.9407
2	0.15	0.9407	0.9407	0.9407
2	0.20	0.9407	0.9407	0.9407
2	0.25	0.9407	0.9407	0.9407
2	0.30	0.9381	0.9381	0.9381
2	0.35	0.9304	0.9304	0.9304
2	0.40	0.9175	0.9175	0.9175
2	0.45	0.8840	0.8840	0.8840
2	0.50	0.8247	0.8247	0.8247
2	0.55	0.7732	0.7732	0.7732
2	0.60	0.6856	0.6856	0.6856
2	0.65	0.6005	0.6005	0.6005
2	0.70	0.5438	0.5438	0.5438
2	0.75	0.4459	0.4459	0.4459
2	0.80	0.3299	0.3299	0.3299
2	0.85	0.1959	0.1959	0.1959
2	0.90	0.0490	0.0490	0.0490
2	0.95	0.0000	0.0000	0.0000
3	0.00	0.9433	0.9433	0.9433
3	0.05	0.9433	0.9433	0.9433
3	0.10	0.9407	0.9407	0.9407
3	0.15	0.9407	0.9407	0.9407
3	0.20	0.9407	0.9407	0.9407
3	0.25	0.9407	0.9407	0.9407
3	0.30	0.9381	0.9381	0.9381
3	0.35	0.9304	0.9304	0.9304
3	0.40	0.9175	0.9175	0.9175
3	0.45	0.8840	0.8840	0.8840
3	0.50	0.8247	0.8247	0.8247
3	0.55	0.7732	0.7732	0.7732
3	0.60	0.6856	0.6856	0.6856
3	0.65	0.6005	0.6005	0.6005
3	0.70	0.5438	0.5438	0.5438
3	0.75	0.4459	0.4459	0.4459
3	0.80	0.3299	0.3299	0.3299
3	0.85	0.1959	0.1959	0.1959
3	0.90	0.0490	0.0490	0.0490
3	0.95	0.0000	0.0000	0.0000
4	0.00	0.9433	0.9433	0.9433
4	0.05	0.9433	0.9433	0.9433
4	0.10	0.9407	0.9407	0.9407
4	0.15	0.9407	0.9407	0.9407
4	0.20	0.9407	0.9407	0.9407
4	0.25	0.9407	0.9407	0.9407
4	0.30	0.9381	0.9381	0.9381
4	0.35	0.9304	0.9304	0.9304
4	0.40	0.9175	0.9175	0.9175
4	0.45	0.8840	0.8840	0.8840
4	0.50	0.8247	0.8247	0.8247
4	0.55	0.7732	0.7732	0.7732
4	0.60	0.6856	0.6856	0.6856
4	0.65	0.6005	0.6005	0.6005
4	0.70	0.5438	0.5438	0.5438
4	0.75	0.4459	0.4459	0.4459
4	0.80	0.3299	0.3299	0.3299
4	0.85	0.1959	0.1959	0.1959
4	0.90	0.0490	0.0490	0.0490
4	0.95	0.0000	0.0000	0.0000
5	0.00	0.9433	0.9433	0.9433
5	0.05	0.9433	0.9433	0.9433
5	0.10	0.9407	0.9407	0.9407
5	0.15	0.9407	0.9407	0.9407
5	0.20	0.9407	0.9407	0.9407
5	0.25	0.9407	0.9407	0.9407
5	0.30	0.9381	0.9381	0.9381
5	0.35	0.9304	0.9304	0.9304
5	0.40	0.9175	0.9175	0.9175
5	0.45	0.8840	0.8840	0.8840
5	0.50	0.8247	0.8247	0.8247
5	0.55	0.7732	0.7732	0.7732
5	0.60	0.6856	0.6856	0.6856
5	0.65	0.6005	0.6005	0.6005
5	0.70	0.5438	0.5438	0.5438
5	0.75	0.4459	0.4459	0.4459
5	0.80	0.3299	0.3299	0.3299
5	0.85	0.1959	0.1959	0.1959
5	0.90	0.0490	0.0490	0.0490
5	0.95	0.0000	0.0000	0.0000
6	0.00	0.9433	0.9433	0.9433
6	0.05	0.9433	0.9433	0.9433
6	0.10	0.9407	0.9407	0.9407
6	0.15	0.9407	0.9407	0.9407
6	0.20	0.9407	0.9407	0.9407
6	0.25	0.9407	0.9407	0.9407
6	0.30	0.9381	0.9381	0.9381
6	0.35	0.9304	0.9304	0.9304
6	0.40	0.9175	0.9175	0.9175
6	0.45	0.8840	0.8840	0.8840
6	0.50	0.8247	0.8247	0.8247
