Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.6675	0.5185	0.5569
1	0.05	0.6675	0.5185	0.5569
1	0.10	0.6675	0.5185	0.5569
1	0.15	0.6675	0.5185	0.5569
1	0.20	0.6675	0.5185	0.5569
1	0.25	0.6675	0.5185	0.5569
1	0.30	0.6675	0.5185	0.5569
1	0.35	0.6675	0.5185	0.5569
1	0.40	0.6649	0.5159	0.5543
1	0.45	0.6598	0.5121	0.5500
1	0.50	0.6443	0.4983	0.5358
1	0.55	0.6237	0.4777	0.5152
1	0.60	0.6057	0.4622	0.4989
1	0.65	0.5619	0.4223	0.4577
1	0.70	0.5155	0.3802	0.4143
1	0.75	0.4433	0.3198	0.3505
1	0.80	0.3711	0.2599	0.2872
1	0.85	0.2912	0.1957	0.2188
1	0.90	0.1804	0.1236	0.1373
1	0.95	0.0928	0.0681	0.0747
2	0.00	0.4510	0.6251	0.4907
2	0.05	0.4510	0.6251	0.4907
2	0.10	0.4510	0.6251	0.4907
2	0.15	0.4510	0.6251	0.4907
2	0.20	0.4510	0.6251	0.4907
2	0.25	0.4510	0.6251	0.4907
2	0.30	0.4510	0.6251	0.4907
2	0.35	0.4523	0.6251	0.4916
2	0.40	0.4536	0.6225	0.4912
2	0.45	0.4536	0.6148	0.4890
2	0.50	0.4549	0.5976	0.4829
2	0.55	0.4446	0.5692	0.4657
2	0.60	0.4317	0.5400	0.4467
2	0.65	0.4175	0.4915	0.4210
2	0.70	0.4046	0.4419	0.3926
2	0.75	0.3557	0.3747	0.3375
2	0.80	0.3196	0.3031	0.2889
2	0.85	0.2706	0.2250	0.2319
2	0.90	0.1791	0.1361	0.1485
2	0.95	0.0928	0.0697	0.0766
3	0.00	0.3497	0.6875	0.4325
3	0.05	0.3497	0.6875	0.4325
3	0.10	0.3497	0.6875	0.4325
3	0.15	0.3497	0.6875	0.4325
3	0.20	0.3497	0.6875	0.4325
3	0.25	0.3497	0.6875	0.4325
3	0.30	0.3501	0.6875	0.4329
3	0.35	0.3514	0.6875	0.4338
3	0.40	0.3548	0.6850	0.4353
3	0.45	0.3591	0.6751	0.4360
3	0.50	0.3655	0.6579	0.4351
3	0.55	0.3600	0.6270	0.4215
3	0.60	0.3582	0.5956	0.4113
3	0.65	0.3544	0.5419	0.3948
3	0.70	0.3535	0.4779	0.3716
3	0.75	0.3162	0.4060	0.3236
3	0.80	0.2955	0.3271	0.2853
3	0.85	0.2595	0.2435	0.2364
3	0.90	0.1787	0.1450	0.1545
3	0.95	0.0928	0.0707	0.0775
4	0.00	0.2867	0.7317	0.3847
4	0.05	0.2867	0.7317	0.3847
4	0.10	0.2867	0.7317	0.3847
4	0.15	0.2867	0.7317	0.3847
4	0.20	0.2867	0.7317	0.3847
4	0.25	0.2867	0.7317	0.3847
4	0.30	0.2874	0.7317	0.3854
4	0.35	0.2887	0.7317	0.3862
4	0.40	0.2930	0.7265	0.3885
4	0.45	0.2990	0.7115	0.3898
4	0.50	0.3069	0.6891	0.3902
4	0.55	0.3048	0.6569	0.3799
4	0.60	0.3071	0.6200	0.3734
4	0.65	0.3101	0.5650	0.3642
4	0.70	0.3164	0.4935	0.3465
4	0.75	0.2867	0.4181	0.3048
4	0.80	0.2781	0.3373	0.2764
4	0.85	0.2534	0.2522	0.2368
4	0.90	0.1778	0.1477	0.1558
4	0.95	0.0928	0.0707	0.0775
5	0.00	0.2387	0.7550	0.3398
5	0.05	0.2387	0.7550	0.3398
5	0.10	0.2387	0.7550	0.3398
