Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.6183	0.4309	0.4711
1	0.05	0.6183	0.4309	0.4711
1	0.10	0.6183	0.4309	0.4711
1	0.15	0.6183	0.4309	0.4711
1	0.20	0.6183	0.4309	0.4711
1	0.25	0.6156	0.4282	0.4684
1	0.30	0.6156	0.4282	0.4684
1	0.35	0.6129	0.4255	0.4658
1	0.40	0.6129	0.4255	0.4658
1	0.45	0.6102	0.4228	0.4631
1	0.50	0.5914	0.4074	0.4468
1	0.55	0.5753	0.3913	0.4306
1	0.60	0.5538	0.3731	0.4116
1	0.65	0.5081	0.3288	0.3668
1	0.70	0.4758	0.3015	0.3384
1	0.75	0.4301	0.2718	0.3058
1	0.80	0.3925	0.2414	0.2735
1	0.85	0.3306	0.2050	0.2314
1	0.90	0.2392	0.1583	0.1765
1	0.95	0.1801	0.1236	0.1377
2	0.00	0.4395	0.5164	0.4272
2	0.05	0.4395	0.5164	0.4272
2	0.10	0.4409	0.5164	0.4281
2	0.15	0.4409	0.5164	0.4281
2	0.20	0.4409	0.5164	0.4281
2	0.25	0.4382	0.5138	0.4254
2	0.30	0.4409	0.5138	0.4272
2	0.35	0.4395	0.5111	0.4254
2	0.40	0.4489	0.5111	0.4312
2	0.45	0.4637	0.5084	0.4402
2	0.50	0.4543	0.4882	0.4272
2	0.55	0.4570	0.4681	0.4218
2	0.60	0.4610	0.4492	0.4191
2	0.65	0.4449	0.4049	0.3928
2	0.70	0.4247	0.3731	0.3685
2	0.75	0.3911	0.3357	0.3369
2	0.80	0.3683	0.2939	0.3056
2	0.85	0.3280	0.2416	0.2632
2	0.90	0.2392	0.1839	0.1989
2	0.95	0.1801	0.1405	0.1519
3	0.00	0.3530	0.5631	0.3858
3	0.05	0.3530	0.5631	0.3858
3	0.10	0.3548	0.5631	0.3872
3	0.15	0.3548	0.5631	0.3872
3	0.20	0.3548	0.5631	0.3872
3	0.25	0.3522	0.5604	0.3845
3	0.30	0.3562	0.5604	0.3876
3	0.35	0.3562	0.5577	0.3872
3	0.40	0.3669	0.5550	0.3937
3	0.45	0.3907	0.5516	0.4104
3	0.50	0.3862	0.5279	0.4012
3	0.55	0.3947	0.5071	0.4004
3	0.60	0.4113	0.4870	0.4091
3	0.65	0.4064	0.4417	0.3909
3	0.70	0.3996	0.4096	0.3750
3	0.75	0.3732	0.3667	0.3453
3	0.80	0.3611	0.3206	0.3199
3	0.85	0.3275	0.2581	0.2771
3	0.90	0.2392	0.1907	0.2053
3	0.95	0.1801	0.1437	0.1547
4	0.00	0.2964	0.5915	0.3493
4	0.05	0.2964	0.5915	0.3493
4	0.10	0.2984	0.5915	0.3509
4	0.15	0.2984	0.5915	0.3509
4	0.20	0.2984	0.5915	0.3509
4	0.25	0.2961	0.5888	0.3487
4	0.30	0.3004	0.5888	0.3522
4	0.35	0.3015	0.5861	0.3530
4	0.40	0.3136	0.5835	0.3611
4	0.45	0.3421	0.5794	0.3825
4	0.50	0.3414	0.5548	0.3772
4	0.55	0.3546	0.5333	0.3813
4	0.60	0.3768	0.5128	0.3957
4	0.65	0.3779	0.4669	0.3829
4	0.70	0.3797	0.4311	0.3720
4	0.75	0.3582	0.3866	0.3455
4	0.80	0.3544	0.3375	0.3255
4	0.85	0.3259	0.2684	0.2842
4	0.90	0.2392	0.1947	0.2086
4	0.95	0.1801	0.1448	0.1554
5	0.00	0.2559	0.6160	0.3194
5	0.05	0.2559	0.6160	0.3194
5	0.10	0.2581	0.6160	0.3212
5	0.15	0.2581	0.6160	0.3212
5	0.20	0.2581	0.6160	0.3212
5	0.25	0.2561	0.6133	0.3194
5	0.30	0.2605	0.6133	0.3230
5	0.35	0.2623	0.6106	0.3247
5	0.40	0.2754	0.6079	0.3342
5	0.45	0.3073	0.6039	0.3593
5	0.50	0.3094	0.5792	0.3573
5	0.55	0.3268	0.5577	0.3663
5	0.60	0.3509	0.5342	0.3823
5	0.65	0.3561	0.4849	0.3730
5	0.70	0.3610	0.4435	0.3640
5	0.75	0.3448	0.3933	0.3396
5	0.80	0.3481	0.3438	0.3252
5	0.85	0.3253	0.2735	0.2878
5	0.90	0.2392	0.1968	0.2105
5	0.95	0.1801	0.1448	0.1554
6	0.00	0.2559	0.6160	0.3194
6	0.05	0.2559	0.6160	0.3194
6	0.10	0.2581	0.6160	0.3212
6	0.15	0.2581	0.6160	0.3212
6	0.20	0.2581	0.6160	0.3212
6	0.25	0.2561	0.6133	0.3194
6	0.30	0.2605	0.6133	0.3230
6	0.35	0.2623	0.6106	0.3247
6	0.40	0.2754	0.6079	0.3342
6	0.45	0.3073	0.6039	0.3593
6	0.50	0.3094	0.5792	0.3573
6	0.55	0.3268	0.5577	0.3663
6	0.60	0.3509	0.5342	0.3823
6	0.65	0.3561	0.4849	0.3730
6	0.70	0.3610	0.4435	0.3640
6	0.75	0.3448	0.3933	0.3396
6	0.80	0.3481	0.3438	0.3252
6	0.85	0.3253	0.2735	0.2878
6	0.90	0.2392	0.1968	0.2105
6	0.95	0.1801	0.1448	0.1554
7	0.00	0.2559	0.6160	0.3194
7	0.05	0.2559	0.6160	0.3194
7	0.10	0.2581	0.6160	0.3212
7	0.15	0.2581	0.6160	0.3212
7	0.20	0.2581	0.6160	0.3212
7	0.25	0.2561	0.6133	0.3194
7	0.30	0.2605	0.6133	0.3230
7	0.35	0.2623	0.6106	0.3247
7	0.40	0.2754	0.6079	0.3342
7	0.45	0.3073	0.6039	0.3593
7	0.50	0.3094	0.5792	0.3573
7	0.55	0.3268	0.5577	0.3663
7	0.60	0.3509	0.5342	0.3823
7	0.65	0.3561	0.4849	0.3730
7	0.70	0.3610	0.4435	0.3640
7	0.75	0.3448	0.3933	0.3396
7	0.80	0.3481	0.3438	0.3252
7	0.85	0.3253	0.2735	0.2878
7	0.90	0.2392	0.1968	0.2105
7	0.95	0.1801	0.1448	0.1554
8	0.00	0.2559	0.6160	0.3194
8	0.05	0.2559	0.6160	0.3194
8	0.10	0.2581	0.6160	0.3212
8	0.15	0.2581	0.6160	0.3212
8	0.20	0.2581	0.6160	0.3212
8	0.25	0.2561	0.6133	0.3194
8	0.30	0.2605	0.6133	0.3230
8	0.35	0.2623	0.6106	0.3247
8	0.40	0.2754	0.6079	0.3342
8	0.45	0.3073	0.6039	0.3593
8	0.50	0.3094	0.5792	0.3573
8	0.55	0.3268	0.5577	0.3663
8	0.60	0.3509	0.5342	0.3823
8	0.65	0.3561	0.4849	0.3730
8	0.70	0.3610	0.4435	0.3640
8	0.75	0.3448	0.3933	0.3396
8	0.80	0.3481	0.3438	0.3252
8	0.85	0.3253	0.2735	0.2878
8	0.90	0.2392	0.1968	0.2105
8	0.95	0.1801	0.1448	0.1554
9	0.00	0.2559	0.6160	0.3194
9	0.05	0.2559	0.6160	0.3194
9	0.10	0.2581	0.6160	0.3212
9	0.15	0.2581	0.6160	0.3212
9	0.20	0.2581	0.6160	0.3212
9	0.25	0.2561	0.6133	0.3194
9	0.30	0.2605	0.6133	0.3230
9	0.35	0.2623	0.6106	0.3247
9	0.40	0.2754	0.6079	0.3342
9	0.45	0.3073	0.6039	0.3593
9	0.50	0.3094	0.5792	0.3573
9	0.55	0.3268	0.5577	0.3663
9	0.60	0.3509	0.5342	0.3823
9	0.65	0.3561	0.4849	0.3730
9	0.70	0.3610	0.4435	0.3640
9	0.75	0.3448	0.3933	0.3396
9	0.80	0.3481	0.3438	0.3252
9	0.85	0.3253	0.2735	0.2878
9	0.90	0.2392	0.1968	0.2105
9	0.95	0.1801	0.1448	0.1554
10	0.00	0.2559	0.6160	0.3194
10	0.05	0.2559	0.6160	0.3194
10	0.10	0.2581	0.6160	0.3212
10	0.15	0.2581	0.6160	0.3212
10	0.20	0.2581	0.6160	0.3212
10	0.25	0.2561	0.6133	0.3194
10	0.30	0.2605	0.6133	0.3230
10	0.35	0.2623	0.6106	0.3247
10	0.40	0.2754	0.6079	0.3342
10	0.45	0.3073	0.6039	0.3593
10	0.50	0.3094	0.5792	0.3573
10	0.55	0.3268	0.5577	0.3663
10	0.60	0.3509	0.5342	0.3823
10	0.65	0.3561	0.4849	0.3730
10	0.70	0.3610	0.4435	0.3640
10	0.75	0.3448	0.3933	0.3396
10	0.80	0.3481	0.3438	0.3252
10	0.85	0.3253	0.2735	0.2878
10	0.90	0.2392	0.1968	0.2105
10	0.95	0.1801	0.1448	0.1554
11	0.00	0.2559	0.6160	0.3194
11	0.05	0.2559	0.6160	0.3194
11	0.10	0.2581	0.6160	0.3212
11	0.15	0.2581	0.6160	0.3212
11	0.20	0.2581	0.6160	0.3212
11	0.25	0.2561	0.6133	0.3194
11	0.30	0.2605	0.6133	0.3230
11	0.35	0.2623	0.6106	0.3247
11	0.40	0.2754	0.6079	0.3342
11	0.45	0.3073	0.6039	0.3593
11	0.50	0.3094	0.5792	0.3573
11	0.55	0.3268	0.5577	0.3663
11	0.60	0.3509	0.5342	0.3823
11	0.65	0.3561	0.4849	0.3730
11	0.70	0.3610	0.4435	0.3640
11	0.75	0.3448	0.3933	0.3396
11	0.80	0.3481	0.3438	0.3252
11	0.85	0.3253	0.2735	0.2878
11	0.90	0.2392	0.1968	0.2105
11	0.95	0.1801	0.1448	0.1554
12	0.00	0.2559	0.6160	0.3194
12	0.05	0.2559	0.6160	0.3194
12	0.10	0.2581	0.6160	0.3212
12	0.15	0.2581	0.6160	0.3212
12	0.20	0.2581	0.6160	0.3212
12	0.25	0.2561	0.6133	0.3194
12	0.30	0.2605	0.6133	0.3230
