Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.4342	0.3447	0.3746
1	0.05	0.4342	0.3447	0.3746
1	0.10	0.4342	0.3447	0.3746
1	0.15	0.4342	0.3447	0.3746
1	0.20	0.4342	0.3447	0.3746
1	0.25	0.4342	0.3447	0.3746
1	0.30	0.4316	0.3434	0.3728
1	0.35	0.4289	0.3421	0.3711
1	0.40	0.4237	0.3368	0.3658
1	0.45	0.4158	0.3303	0.3588
1	0.50	0.4026	0.3184	0.3465
1	0.55	0.3789	0.2987	0.3254
1	0.60	0.3526	0.2750	0.3009
1	0.65	0.3316	0.2592	0.2833
1	0.70	0.3079	0.2421	0.2640
1	0.75	0.2763	0.2171	0.2368
1	0.80	0.2342	0.1842	0.2009
1	0.85	0.1526	0.1158	0.1281
1	0.90	0.0579	0.0395	0.0456
1	0.95	0.0026	0.0013	0.0018
2	0.00	0.4197	0.6908	0.5101
2	0.05	0.4197	0.6908	0.5101
2	0.10	0.4197	0.6908	0.5101
2	0.15	0.4197	0.6908	0.5101
2	0.20	0.4197	0.6908	0.5101
2	0.25	0.4197	0.6908	0.5101
2	0.30	0.4184	0.6895	0.5088
2	0.35	0.4158	0.6816	0.5044
2	0.40	0.4105	0.6763	0.4991
2	0.45	0.3987	0.6500	0.4825
2	0.50	0.3842	0.6145	0.4601
2	0.55	0.3553	0.5724	0.4272
2	0.60	0.3316	0.5250	0.3952
2	0.65	0.3053	0.4763	0.3610
2	0.70	0.2697	0.4197	0.3193
2	0.75	0.2395	0.3645	0.2794
2	0.80	0.1921	0.2829	0.2193
2	0.85	0.1329	0.1842	0.1474
2	0.90	0.0500	0.0592	0.0518
2	0.95	0.0026	0.0013	0.0018
3	0.00	0.3526	0.8605	0.4895
3	0.05	0.3526	0.8605	0.4895
3	0.10	0.3518	0.8579	0.4882
3	0.15	0.3518	0.8579	0.4882
3	0.20	0.3518	0.8579	0.4882
3	0.25	0.3518	0.8579	0.4882
3	0.30	0.3496	0.8526	0.4852
3	0.35	0.3491	0.8447	0.4826
3	0.40	0.3443	0.8395	0.4778
3	0.45	0.3355	0.8053	0.4625
3	0.50	0.3246	0.7592	0.4411
3	0.55	0.2991	0.7079	0.4096
3	0.60	0.2768	0.6368	0.3742
3	0.65	0.2509	0.5632	0.3351
3	0.70	0.2184	0.4947	0.2937
3	0.75	0.1934	0.4263	0.2551
3	0.80	0.1579	0.3276	0.2008
3	0.85	0.1140	0.2092	0.1375
3	0.90	0.0461	0.0658	0.0504
3	0.95	0.0026	0.0013	0.0018
4	0.00	0.2901	0.9474	0.4358
4	0.05	0.2901	0.9474	0.4358
4	0.10	0.2888	0.9421	0.4337
4	0.15	0.2888	0.9421	0.4337
4	0.20	0.2888	0.9421	0.4337
4	0.25	0.2888	0.9421	0.4337
4	0.30	0.2882	0.9368	0.4322
4	0.35	0.2875	0.9263	0.4291
4	0.40	0.2836	0.9184	0.4249
4	0.45	0.2785	0.8789	0.4131
4	0.50	0.2669	0.8158	0.3889
4	0.55	0.2456	0.7579	0.3612
4	0.60	0.2292	0.6842	0.3320
4	0.65	0.2081	0.6039	0.2969
