Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.6173	0.4499	0.4858
1	0.05	0.6173	0.4499	0.4858
1	0.10	0.6173	0.4499	0.4858
1	0.15	0.6173	0.4499	0.4858
1	0.20	0.6148	0.4474	0.4833
1	0.25	0.6148	0.4474	0.4833
1	0.30	0.6148	0.4474	0.4833
1	0.35	0.6122	0.4448	0.4807
1	0.40	0.6071	0.4397	0.4756
1	0.45	0.6020	0.4346	0.4705
1	0.50	0.5893	0.4238	0.4593
1	0.55	0.5663	0.4008	0.4364
1	0.60	0.5536	0.3881	0.4236
1	0.65	0.5128	0.3511	0.3853
1	0.70	0.4745	0.3175	0.3507
1	0.75	0.4235	0.2795	0.3100
1	0.80	0.3903	0.2514	0.2807
1	0.85	0.3291	0.2135	0.2377
1	0.90	0.2423	0.1611	0.1789
1	0.95	0.1684	0.1181	0.1307
2	0.00	0.4324	0.5379	0.4337
2	0.05	0.4324	0.5379	0.4337
2	0.10	0.4337	0.5379	0.4346
2	0.15	0.4337	0.5379	0.4346
2	0.20	0.4311	0.5353	0.4320
2	0.25	0.4311	0.5353	0.4320
2	0.30	0.4337	0.5353	0.4337
2	0.35	0.4362	0.5328	0.4346
2	0.40	0.4375	0.5277	0.4337
2	0.45	0.4503	0.5226	0.4401
2	0.50	0.4490	0.5060	0.4337
2	0.55	0.4464	0.4817	0.4231
2	0.60	0.4515	0.4562	0.4180
2	0.65	0.4388	0.4192	0.3977
2	0.70	0.4171	0.3823	0.3708
2	0.75	0.3827	0.3376	0.3349
2	0.80	0.3673	0.2987	0.3086
2	0.85	0.3278	0.2461	0.2667
2	0.90	0.2423	0.1804	0.1972
2	0.95	0.1684	0.1308	0.1417
3	0.00	0.3435	0.5821	0.3859
3	0.05	0.3435	0.5821	0.3859
3	0.10	0.3452	0.5821	0.3872
3	0.15	0.3452	0.5821	0.3872
3	0.20	0.3427	0.5795	0.3847
3	0.25	0.3427	0.5795	0.3847
3	0.30	0.3465	0.5795	0.3876
3	0.35	0.3512	0.5770	0.3906
3	0.40	0.3546	0.5693	0.3913
3	0.45	0.3737	0.5636	0.4036
3	0.50	0.3793	0.5444	0.4026
3	0.55	0.3839	0.5202	0.3985
3	0.60	0.4001	0.4918	0.4040
3	0.65	0.3992	0.4539	0.3922
3	0.70	0.3895	0.4167	0.3739
3	0.75	0.3627	0.3675	0.3412
3	0.80	0.3593	0.3245	0.3216
3	0.85	0.3274	0.2620	0.2799
3	0.90	0.2423	0.1898	0.2055
3	0.95	0.1684	0.1338	0.1443
4	0.00	0.2832	0.6012	0.3418
4	0.05	0.2832	0.6012	0.3418
4	0.10	0.2851	0.6012	0.3433
4	0.15	0.2851	0.6012	0.3433
4	0.20	0.2825	0.5986	0.3407
4	0.25	0.2830	0.5986	0.3412
4	0.30	0.2870	0.5986	0.3445
4	0.35	0.2934	0.5961	0.3495
4	0.40	0.2987	0.5884	0.3524
4	0.45	0.3214	0.5820	0.3685
4	0.50	0.3310	0.5621	0.3717
4	0.55	0.3397	0.5378	0.3719
4	0.60	0.3627	0.5090	0.3850
4	0.65	0.3686	0.4699	0.3788
4	0.70	0.3665	0.4317	0.3661
4	0.75	0.3452	0.3812	0.3377
4	0.80	0.3508	0.3359	0.3240
4	0.85	0.3259	0.2708	0.2860
4	0.90	0.2423	0.1944	0.2093
4	0.95	0.1684	0.1348	0.1450
5	0.00	0.2439	0.6226	0.3107
5	0.05	0.2439	0.6226	0.3107
5	0.10	0.2459	0.6226	0.3124
5	0.15	0.2459	0.6226	0.3124
5	0.20	0.2434	0.6201	0.3098
5	0.25	0.2440	0.6201	0.3107
5	0.30	0.2482	0.6201	0.3141
5	0.35	0.2556	0.6175	0.3204
5	0.40	0.2627	0.6099	0.3253
5	0.45	0.2879	0.6035	0.3444
5	0.50	0.3000	0.5827	0.3506
5	0.55	0.3116	0.5584	0.3545
5	0.60	0.3370	0.5259	0.3703
5	0.65	0.3473	0.4836	0.3679
5	0.70	0.3481	0.4404	0.3567
5	0.75	0.3326	0.3881	0.3322
5	0.80	0.3455	0.3420	0.3241
5	0.85	0.3255	0.2756	0.2896
5	0.90	0.2423	0.1965	0.2111
5	0.95	0.1684	0.1348	0.1450
6	0.00	0.2439	0.6226	0.3107
6	0.05	0.2439	0.6226	0.3107
6	0.10	0.2459	0.6226	0.3124
6	0.15	0.2459	0.6226	0.3124
6	0.20	0.2434	0.6201	0.3098
6	0.25	0.2440	0.6201	0.3107
6	0.30	0.2482	0.6201	0.3141
6	0.35	0.2556	0.6175	0.3204
6	0.40	0.2627	0.6099	0.3253
6	0.45	0.2879	0.6035	0.3444
6	0.50	0.3000	0.5827	0.3506
6	0.55	0.3116	0.5584	0.3545
6	0.60	0.3370	0.5259	0.3703
6	0.65	0.3473	0.4836	0.3679
6	0.70	0.3481	0.4404	0.3567
6	0.75	0.3326	0.3881	0.3322
6	0.80	0.3455	0.3420	0.3241
6	0.85	0.3255	0.2756	0.2896
6	0.90	0.2423	0.1965	0.2111
6	0.95	0.1684	0.1348	0.1450
7	0.00	0.2439	0.6226	0.3107
7	0.05	0.2439	0.6226	0.3107
7	0.10	0.2459	0.6226	0.3124
7	0.15	0.2459	0.6226	0.3124
7	0.20	0.2434	0.6201	0.3098
7	0.25	0.2440	0.6201	0.3107
7	0.30	0.2482	0.6201	0.3141
7	0.35	0.2556	0.6175	0.3204
7	0.40	0.2627	0.6099	0.3253
7	0.45	0.2879	0.6035	0.3444
7	0.50	0.3000	0.5827	0.3506
