Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.6087	0.4342	0.4725
1	0.05	0.6087	0.4342	0.4725
1	0.10	0.6087	0.4342	0.4725
1	0.15	0.6087	0.4342	0.4725
1	0.20	0.6061	0.4316	0.4700
1	0.25	0.6061	0.4316	0.4700
1	0.30	0.6061	0.4316	0.4700
1	0.35	0.6036	0.4291	0.4674
1	0.40	0.6010	0.4265	0.4649
1	0.45	0.5908	0.4182	0.4562
1	0.50	0.5806	0.4080	0.4459
1	0.55	0.5627	0.3900	0.4280
1	0.60	0.5524	0.3817	0.4193
1	0.65	0.5192	0.3545	0.3906
1	0.70	0.4808	0.3174	0.3531
1	0.75	0.4322	0.2820	0.3152
1	0.80	0.3964	0.2547	0.2857
1	0.85	0.3325	0.2080	0.2344
1	0.90	0.2583	0.1728	0.1921
1	0.95	0.1918	0.1335	0.1482
2	0.00	0.4361	0.5288	0.4330
2	0.05	0.4361	0.5288	0.4330
2	0.10	0.4373	0.5288	0.4339
2	0.15	0.4373	0.5288	0.4339
2	0.20	0.4348	0.5263	0.4313
2	0.25	0.4348	0.5263	0.4313
2	0.30	0.4373	0.5263	0.4330
2	0.35	0.4399	0.5237	0.4339
2	0.40	0.4463	0.5211	0.4373
2	0.45	0.4501	0.5096	0.4360
2	0.50	0.4527	0.4968	0.4326
2	0.55	0.4488	0.4751	0.4224
2	0.60	0.4565	0.4585	0.4224
2	0.65	0.4463	0.4283	0.4076
2	0.70	0.4258	0.3878	0.3791
2	0.75	0.3939	0.3447	0.3453
2	0.80	0.3747	0.3080	0.3198
2	0.85	0.3312	0.2454	0.2677
2	0.90	0.2583	0.1941	0.2116
2	0.95	0.1918	0.1481	0.1606
3	0.00	0.3495	0.5800	0.3907
3	0.05	0.3495	0.5800	0.3907
3	0.10	0.3512	0.5800	0.3920
3	0.15	0.3512	0.5800	0.3920
3	0.20	0.3487	0.5774	0.3894
3	0.25	0.3487	0.5774	0.3894
3	0.30	0.3525	0.5774	0.3924
3	0.35	0.3581	0.5749	0.3962
