Limit	Thresh.	Prec.	Rec.	F1
1	0.00	0.9514	0.9514	0.9514
1	0.05	0.9514	0.9514	0.9514
1	0.10	0.9463	0.9463	0.9463
1	0.15	0.9463	0.9463	0.9463
1	0.20	0.9463	0.9463	0.9463
1	0.25	0.9463	0.9463	0.9463
1	0.30	0.9437	0.9437	0.9437
1	0.35	0.9309	0.9309	0.9309
1	0.40	0.9182	0.9182	0.9182
1	0.45	0.8824	0.8824	0.8824
1	0.50	0.8184	0.8184	0.8184
1	0.55	0.7775	0.7775	0.7775
1	0.60	0.7008	0.7008	0.7008
1	0.65	0.6087	0.6087	0.6087
1	0.70	0.5448	0.5448	0.5448
1	0.75	0.4527	0.4527	0.4527
1	0.80	0.3376	0.3376	0.3376
1	0.85	0.1969	0.1969	0.1969
1	0.90	0.0486	0.0486	0.0486
1	0.95	0.0000	0.0000	0.0000
2	0.00	0.9514	0.9514	0.9514
2	0.05	0.9514	0.9514	0.9514
2	0.10	0.9463	0.9463	0.9463
2	0.15	0.9463	0.9463	0.9463
2	0.20	0.9463	0.9463	0.9463
2	0.25	0.9463	0.9463	0.9463
2	0.30	0.9437	0.9437	0.9437
2	0.35	0.9309	0.9309	0.9309
2	0.40	0.9182	0.9182	0.9182
2	0.45	0.8824	0.8824	0.8824
2	0.50	0.8184	0.8184	0.8184
2	0.55	0.7775	0.7775	0.7775
2	0.60	0.7008	0.7008	0.7008
2	0.65	0.6087	0.6087	0.6087
2	0.70	0.5448	0.5448	0.5448
2	0.75	0.4527	0.4527	0.4527
2	0.80	0.3376	0.3376	0.3376
2	0.85	0.1969	0.1969	0.1969
2	0.90	0.0486	0.0486	0.0486
2	0.95	0.0000	0.0000	0.0000
3	0.00	0.9514	0.9514	0.9514
3	0.05	0.9514	0.9514	0.9514
3	0.10	0.9463	0.9463	0.9463
3	0.15	0.9463	0.9463	0.9463
3	0.20	0.9463	0.9463	0.9463
3	0.25	0.9463	0.9463	0.9463
3	0.30	0.9437	0.9437	0.9437
3	0.35	0.9309	0.9309	0.9309
3	0.40	0.9182	0.9182	0.9182
3	0.45	0.8824	0.8824	0.8824
3	0.50	0.8184	0.8184	0.8184
3	0.55	0.7775	0.7775	0.7775
3	0.60	0.7008	0.7008	0.7008
3	0.65	0.6087	0.6087	0.6087
3	0.70	0.5448	0.5448	0.5448
3	0.75	0.4527	0.4527	0.4527
3	0.80	0.3376	0.3376	0.3376
3	0.85	0.1969	0.1969	0.1969
3	0.90	0.0486	0.0486	0.0486
3	0.95	0.0000	0.0000	0.0000
4	0.00	0.9514	0.9514	0.9514
4	0.05	0.9514	0.9514	0.9514
4	0.10	0.9463	0.9463	0.9463
4	0.15	0.9463	0.9463	0.9463
4	0.20	0.9463	0.9463	0.9463
4	0.25	0.9463	0.9463	0.9463
4	0.30	0.9437	0.9437	0.9437
4	0.35	0.9309	0.9309	0.9309
4	0.40	0.9182	0.9182	0.9182
4	0.45	0.8824	0.8824	0.8824
4	0.50	0.8184	0.8184	0.8184
4	0.55	0.7775	0.7775	0.7775
4	0.60	0.7008	0.7008	0.7008
4	0.65	0.6087	0.6087	0.6087
4	0.70	0.5448	0.5448	0.5448
4	0.75	0.4527	0.4527	0.4527
4	0.80	0.3376	0.3376	0.3376
4	0.85	0.1969	0.1969	0.1969
4	0.90	0.0486	0.0486	0.0486
4	0.95	0.0000	0.0000	0.0000
5	0.00	0.9514	0.9514	0.9514
5	0.05	0.9514	0.9514	0.9514
5	0.10	0.9463	0.9463	0.9463
5	0.15	0.9463	0.9463	0.9463
5	0.20	0.9463	0.9463	0.9463
5	0.25	0.9463	0.9463	0.9463
5	0.30	0.9437	0.9437	0.9437
5	0.35	0.9309	0.9309	0.9309
5	0.40	0.9182	0.9182	0.9182
5	0.45	0.8824	0.8824	0.8824
5	0.50	0.8184	0.8184	0.8184
5	0.55	0.7775	0.7775	0.7775
5	0.60	0.7008	0.7008	0.7008
5	0.65	0.6087	0.6087	0.6087
5	0.70	0.5448	0.5448	0.5448
5	0.75	0.4527	0.4527	0.4527
5	0.80	0.3376	0.3376	0.3376
5	0.85	0.1969	0.1969	0.1969
5	0.90	0.0486	0.0486	0.0486
5	0.95	0.0000	0.0000	0.0000
6	0.00	0.9514	0.9514	0.9514
6	0.05	0.9514	0.9514	0.9514
6	0.10	0.9463	0.9463	0.9463
6	0.15	0.9463	0.9463	0.9463
6	0.20	0.9463	0.9463	0.9463
6	0.25	0.9463	0.9463	0.9463
6	0.30	0.9437	0.9437	0.9437
6	0.35	0.9309	0.9309	0.9309
6	0.40	0.9182	0.9182	0.9182
6	0.45	0.8824	0.8824	0.8824
6	0.50	0.8184	0.8184	0.8184
6	0.55	0.7775	0.7775	0.7775
6	0.60	0.7008	0.7008	0.7008
6	0.65	0.6087	0.6087	0.6087
6	0.70	0.5448	0.5448	0.5448
6	0.75	0.4527	0.4527	0.4527
6	0.80	0.3376	0.3376	0.3376
6	0.85	0.1969	0.1969	0.1969
6	0.90	0.0486	0.0486	0.0486
6	0.95	0.0000	0.0000	0.0000
7	0.00	0.9514	0.9514	0.9514
7	0.05	0.9514	0.9514	0.9514
7	0.10	0.9463	0.9463	0.9463
7	0.15	0.9463	0.9463	0.9463
7	0.20	0.9463	0.9463	0.9463
7	0.25	0.9463	0.9463	0.9463
7	0.30	0.9437	0.9437	0.9437
7	0.35	0.9309	0.9309	0.9309
7	0.40	0.9182	0.9182	0.9182
7	0.45	0.8824	0.8824	0.8824
7	0.50	0.8184	0.8184	0.8184
7	0.55	0.7775	0.7775	0.7775
7	0.60	0.7008	0.7008	0.7008
7	0.65	0.6087	0.6087	0.6087
7	0.70	0.5448	0.5448	0.5448
7	0.75	0.4527	0.4527	0.4527
7	0.80	0.3376	0.3376	0.3376
7	0.85	0.1969	0.1969	0.1969
7	0.90	0.0486	0.0486	0.0486
7	0.95	0.0000	0.0000	0.0000
8	0.00	0.9514	0.9514	0.9514
8	0.05	0.9514	0.9514	0.9514
8	0.10	0.9463	0.9463	0.9463
8	0.15	0.9463	0.9463	0.9463
8	0.20	0.9463	0.9463	0.9463
8	0.25	0.9463	0.9463	0.9463
8	0.30	0.9437	0.9437	0.9437
8	0.35	0.9309	0.9309	0.9309
8	0.40	0.9182	0.9182	0.9182
8	0.45	0.8824	0.8824	0.8824
8	0.50	0.8184	0.8184	0.8184
8	0.55	0.7775	0.7775	0.7775
8	0.60	0.7008	0.7008	0.7008
8	0.65	0.6087	0.6087	0.6087
